Unnamed: 0,pump
9 days 20:45:00,5.14
9 days 21:00:00,4.45
9 days 21:15:00,4.17
9 days 21:30:00,4.1
9 days 21:45:00,4.37
9 days 22:00:00,3.27
9 days 22:15:00,3.47
9 days 22:30:00,3.08
9 days 22:45:00,2.41
9 days 23:00:00,2.29
9 days 23:15:00,1.91
9 days 23:30:00,1.74
9 days 23:45:00,1.64
10 days 00:00:00,1.69
10 days 00:15:00,1.6
10 days 00:30:00,1.26
10 days 00:45:00,1.28
10 days 01:00:00,1.08
10 days 01:15:00,1.11
10 days 01:30:00,1.11
10 days 01:45:00,1.12
10 days 02:00:00,1.13
10 days 02:15:00,1.18
10 days 02:30:00,1.16
10 days 02:45:00,1.31
10 days 03:00:00,1.28
10 days 03:15:00,1.44
10 days 03:30:00,1.75
10 days 03:45:00,1.74
10 days 04:00:00,2.58
10 days 04:15:00,2.84
10 days 04:30:00,3.03
10 days 04:45:00,3.42
10 days 05:00:00,5.15
10 days 05:15:00,6.74
10 days 05:30:00,7.28
10 days 05:45:00,6.45
10 days 06:00:00,6.89
10 days 06:15:00,6.62
10 days 06:30:00,7.47
10 days 06:45:00,6.9
10 days 07:00:00,6.7
10 days 07:15:00,7.59
10 days 07:30:00,7.08
10 days 07:45:00,6.26
10 days 08:00:00,6.09
10 days 08:15:00,5.82
